,result,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate
1911,1,0.4918,0.38020000000000004,0.410377358490566,0.4792682926829268,0.48435516180910193,0.5059,0.5116696588868941,0.5114942528735632,0.376612150340583,0.5279,0.24280000000000002,0.48983739837398377,0.49949545913218973,0.5479757308328737,0.4961,0.4108,0.4725490196078432,0.4742376445846478,0.4878733073641254,0.48990000000000006,0.5442,0.5218216318785579,0.5171650055370985
1912,1,0.5,0.5,0.5,0.5,0.5,0.5351,0.5337423312883436,0.5020120724346075,0.5222149332061069,0.49119999999999997,0.5118,0.4482758620689655,0.4689880304678999,0.47060634770251064,0.5172,0.508,0.5631067961165048,0.5140771637122001,0.5309301395326949,0.5086999999999999,0.4539,0.5,0.5375
1913,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.529,0.5241,0.49889135254988914,0.5082644628099173,0.5463746385348613,0.4483,0.5439,0.3771106941838649,0.4791901012373453
1914,0,0.4823,0.6823,0.5452127659574468,0.5190184049079755,0.5180919772780328,0.465,0.44703770197486536,0.48872180451127817,0.601150981719702,0.4737,0.5634,0.38461538461538464,0.46018614270941055,0.43738513484634783,0.5152,0.4675,0.5076045627376425,0.4994882292732856,0.5376034034507209,0.4939,0.5666,0.491725768321513,0.4845132743362831
1915,1,0.5271,0.5292,0.578125,0.5368956743002545,0.5304897590536958,0.49670000000000003,0.48387096774193544,0.4790836653386454,0.47060916206009523,0.4601,0.3261,0.4075546719681909,0.4640522875816993,0.466737277449942,0.5106,0.5529,0.5279850746268657,0.5090180360721442,0.5207019756200084,0.48360000000000003,0.516,0.4682203389830509,0.5041666666666667
1916,1,0.5217,0.511,0.5264550264550264,0.50199203187251,0.4773780436431039,0.4648,0.46184738955823285,0.4990439770554494,0.539418547994153,0.5215,0.5647,0.46336633663366333,0.5005291005291005,0.540604520196357,0.48479999999999995,0.5325,0.4923954372623574,0.5005117707267145,0.4623965965492791,0.5569,0.6075,0.5708061002178649,0.4972129319955407
1917,0,0.5061,0.4857,0.5476718403547672,0.5159642401021711,0.4758300169760387,0.504,0.4294871794871795,0.49902912621359224,0.5932988420793299,0.4936,0.39490000000000003,0.452191235059761,0.483974358974359,0.5095616496498385,0.5,0.5,0.5,0.5,0.5,0.47270000000000006,0.3404,0.4952198852772466,0.5482502651113468
1918,0,0.4722,0.5153,0.5918918918918918,0.5280575539568346,0.4372743370972564,0.4875,0.5434782608695652,0.5071225071225072,0.44308175093662944,0.5186999999999999,0.4991,0.5102459016393442,0.5053648068669528,0.4689651863048538,0.4464,0.4524,0.5540540540540541,0.5335968379446641,0.489058148127096,0.5065999999999999,0.5871,0.44909090909090915,0.4814814814814815
1919,1,0.5504,0.3978,0.5603448275862069,0.5152998776009792,0.5018151946365635,0.5085000000000001,0.4693877551020408,0.47468958930276983,0.5003957403943013,0.4341,0.387,0.41468253968253965,0.47687224669603523,0.5041298079272762,0.5075000000000001,0.44549999999999995,0.47874306839186687,0.49326424870466323,0.6444861235695453,0.5058,0.6174000000000001,0.6135135135135135,0.48003992015968067
1920,1,0.4621,0.5861,0.4666666666666667,0.4790575916230366,0.45885657633840055,0.47520000000000007,0.5067698259187621,0.5092502434274586,0.4236635976363886,0.48460000000000003,0.5515,0.4283216783216783,0.4794238683127572,0.6001862197392923,0.5263,0.6291,0.5618860510805501,0.5102639296187683,0.5033218240266698,0.43420000000000003,0.4839,0.3833017077798862,0.44130434782608696
